quantity,unit,ingredient,ingredient_step,recipe_id
60.0,ml,gin,0,55
15.0,ml,white crème de cacao,1,55
1.0,None,egg white,2,55
0.5,tsp,grenadine,3,55
60.0,ml,plymouth gin,0,58
22.5,ml,honey,1,58
22.5,ml,lemon juice,2,58
60.0,ml,gin,0,59
22.5,ml,honey,1,59
22.5,ml,lemon juice,2,59
60.0,ml,gin,0,60
22.5,ml,honey,1,60
22.5,ml,lemon juice,2,60
30.0,ml,gin,0,62
,ml,campari,1,62
15.0,ml,limoncello,2,62
15.0,ml,mandarine napoléon,3,62
,ml,orange juice,4,62
,None,lime peel spiral,5,62
45.0,ml,blended american whiskey,0,64
22.5,ml,harveys bristol cream sherry,1,64
22.5,ml,lemon juice,2,64
30.0,ml,simple syrup,3,64
45.0,ml,orange juice,4,64
45.0,ml,cranberry juice,5,64
30.0,ml,chilled 7-up,6,64
30.0,ml,chilled club soda,7,64
,None,whole strawberry,8,64
,None,lemon wedge,9,64
,None,mint sprig,10,64
45.0,ml,canadian blended whisky,0,66
15.0,ml,drambuie,1,66
7.5,ml,kirsch,2,66
30.0,ml,white rum,0,67
30.0,ml,cognac,1,67
30.0,ml,triple sec,2,67
22.5,ml,lemon juice,3,67
22.5,ml,brandy,0,69
22.5,ml,rum,1,69
22.5,ml,cointreau,2,69
22.5,ml,lemon juice,3,69
30.0,ml,brandy,0,70
30.0,ml,gin,1,70
30.0,ml,cointreau,2,70
22.5,ml,lemon juice,3,70
30.0,ml,brandy,0,72
30.0,ml,white rum,1,72
30.0,ml,cointreau,2,72
22.5,ml,lemon juice,3,72
45.0,ml,brandy,0,73
15.0,ml,bndictine,1,73
15.0,ml,cointreau,2,73
22.5,ml,lemon juice,3,73
30.0,ml,white rum,0,74
30.0,ml,cointreau,1,74
30.0,ml,cognac,2,74
22.5,ml,lemon juice,3,74
30.0,ml,brandy,0,75
30.0,ml,white rum,1,75
30.0,ml,cointreau,2,75
22.5,ml,lemon juice,3,75
30.0,ml,green chartreuse,0,76
30.0,ml,sweet vermouth,1,76
30.0,ml,plymouth gin,2,76
1.0,dash,orange bitters,3,76
30.0,ml,tanqueray gin,0,77
30.0,ml,dolin sweet vermouth,1,77
30.0,ml,green chartreuse,2,77
1.0,dash,house orange bitters,3,77
45.0,ml,gin,0,78
22.5,ml,sweet vermouth,1,78
22.5,ml,green chartreuse,2,78
2.0,dash,orange bitters,3,78
45.0,ml,plymouth gin,0,79
22.5,ml,carpano antica sweet vermouth,1,79
15.0,ml,green chartreuse,2,79
1.0,dash,angostura bitters,3,79
22.5,ml,tequila,0,81
22.5,ml,white crème de cacao,1,81
7.5,ml,amaretto,2,81
45.0,ml,heavy cream,3,81
2.0,None,lime wedges,0,82
,None,salt,1,82
45.0,ml,pepper-infused tequila,2,82
22.5,ml,triple sec or other orange liqueur,3,82
45.0,ml,sweet-and-sour,4,82
0.5,cup,"washed, stemmed, halved orange cherry tomatoes",5,82
1.0,None,"clove garlic, finely minced",6,82
1.0,None,chopped green onion,7,82
3.0,dash,worcestershire sauce,8,82
2.0,None,orange cherry tomatoes,9,82
7.5,ml,dry vermouth,0,84
,None,black olive,1,84
30.0,ml,tequila,0,87
30.0,ml,vodka,1,87
60.0,ml,kahlúa,2,87
30.0,ml,gold rum,0,88
7.5,ml,southern comfort,1,88
1.0,tsp,sugar,2,88
45.0,ml,lime juice,3,88
60.0,ml,irish whiskey,0,89
7.5,ml,cointreau,1,89
7.5,ml,absinthe substitute,2,89
,dash,maraschino liqueur,3,89
,dash,angostura bitters,4,89
,None,lemon twist,5,89
90.0,ml,bourbon,0,91
30.0,ml,cranberry juice,1,91
22.5,ml,lemon juice,2,91
30.0,ml,simple syrup,3,91
,None,lemon wedge,4,91
22.5,ml,scotch whisky,0,94
22.5,ml,cherry heering,1,94
22.5,ml,sweet vermouth,2,94
30.0,ml,orange juice,3,94
22.5,ml,blended scotch whisky,0,95
22.5,ml,sweet vermouth,1,95
22.5,ml,orange juice,2,95
22.5,ml,cherry heering,3,95
45.0,ml,famous grouse blended scotch whisky,0,96
22.5,ml,orange juice,1,96
15.0,ml,cherry heering,2,96
15.0,ml,carpano antica sweet vermouth,3,96
60.0,ml,silver tequila,0,98
45.0,ml,lime juice,1,98
1.0,None,"clove garlic, finely minced",2,98
0.25,cup,chopped cucumber,3,98
3.0,dash,worcestershire sauce,4,98
3.0,dash,tabasco sauce or other hot sauce,5,98
150.0,ml,tomato or v8 juice,6,98
,None,lime wedge,7,98
,None,celery stalk,8,98
15.0,ml,blue curaçao,0,100
15.0,ml,brandy,1,100
15.0,ml,parfait amour,2,100
15.0,ml,heavy cream,3,100
22.5,ml,lemon juice,4,100
45.0,ml,bourbon,0,101
30.0,ml,pineapple juice,1,101
22.5,ml,lemon juice,2,101
7.5,ml,maraschino liqueur,3,101
30.0,ml,light rum,0,102
30.0,ml,blue curaçao,1,102
30.0,ml,cream of coconut,2,102
60.0,ml,pineapple juice,3,102
,None,pineapple wedge,4,102
,None,maraschino cherry,5,102
,None,lime wedge,0,103
,None,kosher salt,1,103
60.0,ml,tequila,2,103
30.0,ml,blue curaçao,3,103
30.0,ml,cointreau,4,103
30.0,ml,lime juice,5,103
,None,lemon wedge,0,104
,None,sugar,1,104
60.0,ml,citron rum,2,104
15.0,ml,blue curaçao,3,104
15.0,ml,sweet-and-sour,4,104
,None,orange blossom,5,104
30.0,ml,gin,0,105
30.0,ml,cointreau,1,105
,dash,blue curaçao,2,105
120.0,ml,chilled club soda,3,105
22.5,ml,tequila,0,106
7.5,ml,blue curaçao,1,106
3.0,dash,galliano,2,106
45.0,ml,heavy cream,3,106
45.0,ml,tequila,0,107
45.0,ml,vodka,1,107
